applycd,APPLYDATE,EVER60_LABEL
BAH1211701006107,2017/1/4,0
BAH1211701006349,2017/1/4,0
BAH1211701006376,2017/1/4,0
BAH1211701007596,2017/1/10,0
BAH1211701007613,2017/1/11,0
BAH1211701007622,2017/1/5,0
BAH1211701007660,2017/1/5,0
BAH1211701007932,2017/1/5,0
BAH1211701008013,2017/1/5,0
BAH1211701008086,2017/1/5,0
BAH1211701008336,2017/1/5,0
BAH1211701008402,2017/1/5,0
BAH1211701008466,2017/1/5,0
BAH1211701008690,2017/1/5,0
BAH1211701008708,2017/1/5,0
BAH1211701008774,2017/1/5,0
BAH1211701009205,2017/1/6,0
BAH1211701009292,2017/1/6,0
BAH1211701009898,2017/1/6,0
BAH1211701009960,2017/1/6,0
BAH1211701010008,2017/1/6,0
BAH1211701010214,2017/1/6,0
BAH1211701010308,2017/1/9,0
BAH1211701010440,2017/1/6,0
BAH1211701010590,2017/1/6,0
BAH1211701010597,2017/1/6,0
BAH1211701010619,2017/1/6,0
BAH1211701010798,2017/1/6,0
BAH1211701010823,2017/1/6,0
BAH1211701011025,2017/1/7,0
BAH1211701011366,2017/1/7,0
BAH1211701012168,2017/1/8,0
BAH1211701012613,2017/1/8,0
BAH1211701013316,2017/1/9,0
BAH1211701013515,2017/1/9,0
BAH1211701013803,2017/1/9,0
BAH1211701014420,2017/1/9,0
BAH1211701014490,2017/1/9,0
BAH1211701014706,2017/1/9,0
BAH1211701014801,2017/1/9,0
BAH1211701014900,2017/1/9,0
BAH1211701014972,2017/1/9,0
BAH1211701015055,2017/1/9,0
BAH1211701015084,2017/1/9,0
BAH1211701015154,2017/1/9,0
BAH1211701015273,2017/1/9,1
BAH1211701015627,2017/1/9,0
BAH1211701015684,2017/1/9,0
BAH1211701016276,2017/1/10,0
BAH1211701016311,2017/1/10,0
BAH1211701016317,2017/1/10,0
BAH1211701016356,2017/1/10,0
BAH1211701016367,2017/1/10,0
BAH1211701016403,2017/1/10,0
BAH1211701016412,2017/1/10,0
BAH1211701016425,2017/1/10,0
BAH1211701016466,2017/1/10,0
BAH1211701016525,2017/1/10,0
BAH1211701016697,2017/1/10,0
BAH1211701017040,2017/1/10,0
BAH1211701017057,2017/1/10,0
BAH1211701017109,2017/1/10,0
BAH1211701017135,2017/1/10,0
BAH1211701017148,2017/1/10,0
BAH1211701017272,2017/1/10,0
BAH1211701017361,2017/1/10,0
BAH1211701017491,2017/1/10,0
BAH1211701017523,2017/1/10,0
BAH1211701017551,2017/1/10,0
BAH1211701017654,2017/1/10,0
BAH1211701017899,2017/1/10,0
BAH1211701018110,2017/1/10,0
BAH1211701018622,2017/1/11,0
BAH1211701018659,2017/1/11,0
BAH1211701018908,2017/1/11,0
BAH1211701018948,2017/1/11,0
BAH1211701019041,2017/1/11,0
BAH1211701019439,2017/1/11,0
BAH1211701019461,2017/1/11,0
BAH1211701019608,2017/1/11,0
BAH1211701019940,2017/1/11,0
BAH1211701020150,2017/1/11,0
BAH1211701020191,2017/1/11,0
BAH1211701020328,2017/1/11,0
BAH1211701020401,2017/1/11,0
BAH1211701020428,2017/1/11,0
BAH1211701020987,2017/1/12,0
BAH1211701021081,2017/1/12,0
BAH1211701021194,2017/1/12,0
BAH1211701021225,2017/1/12,0
BAH1211701021336,2017/1/12,0
BAH1211701022683,2017/1/12,0
BAH1211701022709,2017/1/12,0
BAH1211701022763,2017/1/12,0
BAH1211701022878,2017/1/12,0
BAH1211701022916,2017/1/13,0
BAH1211701023298,2017/1/13,0
BAH1211701023634,2017/1/13,0
BAH1211701023987,2017/1/17,0
BAH1211701023994,2017/1/24,0
BAH1211701024141,2017/1/13,0
BAH1211701024157,2017/1/13,0
BAH1211701024235,2017/1/13,0
BAH1211701024243,2017/1/13,0
BAH1211701024358,2017/1/13,0
BAH1211701024463,2017/1/13,0
BAH1211701024550,2017/1/13,0
BAH1211701024570,2017/1/13,0
BAH1211701025716,2017/1/14,0
BAH1211701026043,2017/1/14,0
BAH1211701028171,2017/1/16,0
BAH1211701028174,2017/1/16,0
BAH1211701028205,2017/1/16,0
BAH1211701028223,2017/1/16,0
BAH1211701028338,2017/1/16,0
BAH1211701028544,2017/1/16,0
BAH1211701028564,2017/1/16,0
BAH1211701029216,2017/1/16,0
BAH1211701029279,2017/1/16,0
BAH1211701029718,2017/1/16,0
BAH1211701029749,2017/1/16,0
BAH1211701029872,2017/1/16,0
BAH1211701029938,2017/1/16,0
BAH1211701030243,2017/1/16,0
BAH1211701030932,2017/1/16,0
BAH1211701030933,2017/1/16,0
BAH1211701031623,2017/1/17,0
BAH1211701031726,2017/1/17,0
BAH1211701031864,2017/1/17,0
BAH1211701031961,2017/1/17,0
BAH1211701033149,2017/1/17,0
BAH1211701033166,2017/1/17,0
BAH1211701033182,2017/1/17,0
BAH1211701034693,2017/1/18,0
BAH1211701035478,2017/1/18,0
BAH1211701035497,2017/1/18,0
BAH1211701035820,2017/1/18,0
BAH1211701037011,2017/1/19,0
BAH1211701037224,2017/1/19,0
BAH1211701037694,2017/1/19,0
BAH1211701037718,2017/1/19,0
BAH1211701037723,2017/1/19,0
BAH1211701037748,2017/1/19,0
BAH1211701037768,2017/1/19,0
BAH1211701038166,2017/1/19,0
BAH1211701038455,2017/1/19,0
BAH1211701038968,2017/1/19,0
BAH1211701039574,2017/1/20,0
BAH1211701040294,2017/1/20,0
BAH1211701040963,2017/1/20,0
BAH1211701041076,2017/1/20,0
BAH1211701041383,2017/1/20,0
BAH1211701044170,2017/1/22,0
BAH1211701044618,2017/1/22,0
BAH1211701044711,2017/1/22,0
BAH1211701044968,2017/1/22,0
BAH1211701045061,2017/1/22,0
BAH1211701045302,2017/1/22,0
BAH1211701045348,2017/1/22,0
BAH1211701048674,2017/1/24,0
BAH1211701048812,2017/1/24,0
BAH1211701049363,2017/1/24,0
BAH1211701049375,2017/1/24,0
BAH1211701049688,2017/1/25,0
BAH1211702000534,2017/2/3,0
BAH1211702000737,2017/2/3,0
BAH1211702001635,2017/2/4,0
BAH1211702002115,2017/2/4,0
BAH1211702002377,2017/2/4,0
BAH1211702005091,2017/2/6,0
BAH1211702005126,2017/2/6,0
BAH1211702005179,2017/2/6,0
BAH1211702005306,2017/2/6,0
BAH1211702005464,2017/2/6,0
BAH1211702006643,2017/2/7,0
BAH1211702007091,2017/2/7,0
BAH1211702007330,2017/2/7,0
BAH1211702007522,2017/2/7,0
BAH1211702007775,2017/2/7,0
BAH1211702007869,2017/2/7,0
BAH1211702007874,2017/2/7,0
BAH1211702008190,2017/2/8,0
BAH1211702008292,2017/2/8,0
BAH1211702008891,2017/2/8,0
BAH1211702008911,2017/2/8,0
BAH1211702009045,2017/2/8,0
BAH1211702010203,2017/2/9,0
BAH1211702010259,2017/2/9,0
BAH1211702010433,2017/2/9,0
BAH1211702010670,2017/2/9,0
BAH1211702010801,2017/2/9,0
BAH1211702010818,2017/2/9,0
BAH1211702010918,2017/2/9,0
BAH1211702011450,2017/2/10,0
BAH1211702011629,2017/2/10,0
BAH1211702011879,2017/2/10,0
BAH1211702011923,2017/2/10,0
BAH1211702011973,2017/2/10,0
BAH1211702012065,2017/2/10,0
BAH1211702012130,2017/2/10,0
BAH1211702012323,2017/2/10,0
BAH1211702012351,2017/2/10,0
BAH1211702014404,2017/2/13,0
BAH1211702014565,2017/2/13,0
BAH1211702015201,2017/2/13,0
BAH1211702015253,2017/2/13,0
BAH1211702015604,2017/2/13,0
BAH1211702016493,2017/2/14,0
BAH1211702016707,2017/2/14,0
BAH1211702016722,2017/2/14,0
BAH1211702016726,2017/2/14,0
BAH1211702017130,2017/2/14,0
BAH1211702017188,2017/2/14,0
BAH1211702017462,2017/2/14,0
BAH1211702017680,2017/2/14,0
BAH1211702017769,2017/2/14,0
BAH1211702018087,2017/2/15,0
BAH1211702018139,2017/2/15,0
BAH1211702018181,2017/2/15,0
BAH1211702018222,2017/2/15,0
BAH1211702018268,2017/2/15,0
BAH1211702019042,2017/2/15,0
BAH1211702020058,2017/2/16,0
BAH1211702020282,2017/2/16,0
BAH1211702020300,2017/2/16,0
BAH1211702020351,2017/2/16,0
BAH1211702020502,2017/2/16,0
BAH1211702020751,2017/2/20,0
BAH1211702020818,2017/2/16,0
BAH1211702020859,2017/2/16,0
BAH1211702021278,2017/2/17,0
BAH1211702021284,2017/2/17,0
BAH1211702021498,2017/2/17,0
BAH1211702021759,2017/2/17,0
BAH1211702021768,2017/2/17,0
BAH1211702024414,2017/2/20,0
BAH1211702025366,2017/2/20,0
BAH1211702025413,2017/2/20,0
BAH1211702025997,2017/2/20,0
BAH1211702027264,2017/2/21,0
BAH1211702027301,2017/2/21,0
BAH1211702027319,2017/2/21,0
BAH1211702027842,2017/2/21,0
BAH1211702028007,2017/2/21,0
BAH1211702028067,2017/2/21,0
BAH1211702028506,2017/2/22,0
BAH1211702029016,2017/2/22,0
BAH1211702029406,2017/2/22,0
BAH1211702031054,2017/2/23,0
BAH1211702031058,2017/2/23,0
BAH2001701001125,2017/1/3,0
BAH2001701001217,2017/1/3,0
BAH2001701001949,2017/1/3,0
BAH2001701005116,2017/1/4,0
BAH2001701005510,2017/1/4,0
BAH2001701005621,2017/1/4,0
BAH2001701005722,2017/1/4,0
BAH2001701005968,2017/1/4,0
BAH2001701007161,2017/1/5,0
BAH2001701007212,2017/1/5,0
BAH2001701007290,2017/1/5,0
BAH2001701008227,2017/1/5,0
BAH2001701008341,2017/1/5,0
BAH2001701008533,2017/1/5,0
BAH2001701009357,2017/1/6,0
BAH2001701010556,2017/1/6,0
BAH2001701011068,2017/1/7,0
BAH2001701014050,2017/1/9,0
BAH2001701014145,2017/1/9,0
BAH2001701015033,2017/1/9,0
BAH2001701015226,2017/1/9,0
BAH2001701017837,2017/1/10,0
BAH2001701018228,2017/1/10,0
BAH2001701019367,2017/1/11,1
BAH2001701020717,2017/1/11,0
BAH2001701022021,2017/1/12,0
BAH2001701023307,2017/1/13,0
BAH2001701024006,2017/1/13,0
BAH2001701024030,2017/1/13,0
BAH2001701024061,2017/1/13,0
BAH2001701024706,2017/1/13,0
BAH2001701024979,2017/1/13,0
BAH2001701028078,2017/1/16,0
BAH2001701028258,2017/1/16,0
BAH2001701028806,2017/1/16,0
BAH2001701032545,2017/1/17,0
BAH2001701032646,2017/1/17,0
BAH2001701033127,2017/1/17,0
BAH2001701033405,2017/1/17,0
BAH2001701034154,2017/1/18,0
BAH2001701034456,2017/1/18,0
BAH2001701034548,2017/1/18,0
BAH2001701035295,2017/1/18,0
BAH2001701036833,2017/1/19,0
BAH2001701036999,2017/1/19,0
BAH2001701037091,2017/1/19,0
BAH2001701038104,2017/1/19,0
BAH2001701040005,2017/1/20,1
BAH2001701040085,2017/1/20,0
BAH2001701040838,2017/1/21,0
BAH2001701043318,2017/1/22,0
BAH2001701043476,2017/1/22,1
BAH2001701043700,2017/1/22,1
BAH2001701043714,2017/1/22,0
BAH2001701044142,2017/1/22,0
BAH2001701045110,2017/1/22,0
BAH2001701045974,2017/1/23,0
BAH2001701046894,2017/1/23,0
BAH2001701047059,2017/1/23,0
BAH2001701047184,2017/1/23,0
BAH2001701048248,2017/1/24,0
BAH2001701049410,2017/1/24,0
BAH2001701049711,2017/1/25,0
BAH2001701049762,2017/1/25,0
BAH2001702000820,2017/2/3,0
BAH2001702002068,2017/2/4,0
BAH2001702003250,2017/2/5,0
BAH2001702004429,2017/2/6,0
BAH2001702004989,2017/2/6,0
BAH2001702005586,2017/2/6,0
BAH2001702005886,2017/2/6,0
BAH2001702006672,2017/2/7,0
BAH2001702007096,2017/2/7,0
BAH2001702007259,2017/2/7,0
BAH2001702008035,2017/2/8,0
BAH2001702008104,2017/2/8,0
BAH2001702009576,2017/2/9,1
BAH2001702010404,2017/2/9,0
BAH2001702010641,2017/2/9,0
BAH2001702010645,2017/2/9,1
BAH2001702012365,2017/2/10,0
BAH2001702013500,2017/2/13,0
BAH2001702014169,2017/2/13,1
BAH2001702014196,2017/2/13,0
BAH2001702016503,2017/2/14,0
BAH2001702016679,2017/2/14,1
BAH2001702016787,2017/2/14,1
BAH2001702017274,2017/2/14,0
BAH2001702018646,2017/2/16,0
BAH2001702019894,2017/2/16,0
BAH2001702020325,2017/2/16,0
BAH2001702021409,2017/2/17,0
BAH2001702022009,2017/2/17,0
BAH2001702022131,2017/2/17,0
BAH2001702023276,2017/2/19,0
BAH2001702026499,2017/2/21,0
BAH2001702027023,2017/2/21,1
BAH2001702027181,2017/2/21,1
BAH2001702027315,2017/2/21,1
BAH2001702027376,2017/2/21,1
BAH2001702028737,2017/2/22,0
BAH2001702031720,2017/2/24,0
BAH2001702031879,2017/2/24,1
BAH2001702034780,2017/2/27,0
BAH2001702036659,2017/2/27,0
BAH2011701000270,2017/1/2,0
BAH2011701000372,2017/1/2,0
BAH2011701001382,2017/1/2,1
BAH2011701001526,2017/1/2,0
BAH2011701002912,2017/1/3,0
BAH2011701004748,2017/1/4,0
BAH2011701005329,2017/1/4,0
BAH2011701007774,2017/1/5,0
BAH2011701007812,2017/1/5,0
BAH2011701007971,2017/1/5,0
BAH2011701009994,2017/1/6,0
BAH2011701013791,2017/1/9,0
BAH2011701014647,2017/1/9,0
BAH2011701015391,2017/1/9,0
BAH2011701015637,2017/1/9,0
BAH2011701017266,2017/1/10,0
BAH2011701020452,2017/1/11,0
BAH2011701021420,2017/1/16,0
BAH2011701028637,2017/1/16,0
BAH2011701033223,2017/1/17,0
BAH2011701035917,2017/1/18,0
BAH2011701036950,2017/1/19,0
BAH2011701042827,2017/1/21,0
BAH2011702004222,2017/2/6,0
BAH2011702005200,2017/2/6,0
BAH2011702013538,2017/2/13,0
BAH2011702015541,2017/2/13,0
BAH2011702016445,2017/2/14,0
BAH2021701000026,2017/1/1,0
BAH2021701004009,2017/1/3,0
BAH20316126175,2017/1/19,0
BAH2031701000111,2017/1/1,0
BAH2031701002972,2017/1/3,0
BAH2031701004561,2017/1/3,0
BAH2031701014174,2017/1/9,0
BAH2031701036285,2017/1/18,0
BAH2031702018704,2017/2/15,0
BAH2031702023904,2017/2/19,0
BAH2041701000511,2017/1/2,0
BAH2041701040922,2017/1/20,0
BAH2041701047405,2017/1/23,0
BAH2051701002089,2017/1/3,0
BAH2051701002365,2017/1/3,0
BAH2051701002901,2017/1/3,0
BAH2051701003079,2017/1/3,0
BAH2051701004538,2017/1/4,0
BAH2051701005737,2017/1/4,0
BAH2051701009546,2017/1/6,0
BAH2051701016804,2017/1/10,0
BAH2051701019976,2017/1/11,0
BAH2051701027386,2017/1/15,0
BAH2051701027816,2017/1/15,0
BAH2051701034398,2017/1/18,0
BAH2051701035065,2017/1/18,0
BAH2051701038374,2017/1/19,0
BAH2051701038477,2017/1/19,0
BAH2051701040109,2017/1/20,0
BAH2051701040459,2017/1/20,0
BAH2051701040919,2017/1/20,0
BAH2051701044074,2017/1/22,0
BAH2051701044519,2017/1/22,0
BAH2051701046034,2017/1/23,0
BAH2051701047437,2017/1/23,0
BAH2051701047741,2017/1/24,0
BAH2051701048439,2017/1/24,0
BAH2051701048473,2017/1/24,0
BAH2051701049404,2017/1/24,0
BAH2051701050132,2017/1/25,0
BAH2051702001730,2017/2/4,0
BAH2051702004590,2017/2/6,0
BAH2051702009397,2017/2/8,0
BAH2051702012011,2017/2/10,0
BAH2051702013402,2017/2/12,0
BAH2051702014341,2017/2/13,1
BAH2051702014755,2017/2/13,0
BAH2051702015133,2017/2/13,0
BAH2051702015799,2017/2/13,0
BAH2051702016442,2017/2/14,0
BAH2051702021056,2017/2/17,0
BAH2051702022621,2017/2/18,0
BAH2051702022957,2017/2/19,0
BAH2051702025226,2017/2/20,0
BAH2051702026808,2017/2/21,0
BAH2051702032820,2017/2/24,0
BAH2061701003024,2017/1/3,0
BAH2061701005312,2017/1/4,0
BAH2061701008652,2017/1/6,0
BAH2061701010517,2017/1/6,0
BAH2061701011082,2017/1/7,0
BAH2061701011442,2017/1/7,0
BAH2061701013724,2017/1/9,0
BAH2061701016360,2017/1/10,0
BAH2061701016823,2017/1/10,0
BAH2061701018955,2017/1/11,0
BAH2061701019345,2017/1/11,0
BAH2061701019536,2017/1/11,0
BAH2061701019686,2017/1/11,0
BAH2061701020256,2017/1/12,1
BAH2061701021542,2017/1/12,0
BAH2061701023678,2017/1/13,0
BAH2061701024408,2017/1/13,0
BAH2061701024695,2017/1/14,0
BAH2061701028741,2017/1/16,0
BAH2061701031941,2017/1/17,0
BAH2061701034286,2017/1/18,0
BAH2061701034791,2017/1/18,0
BAH2061701034908,2017/1/18,0
BAH2061701035196,2017/1/18,0
BAH2061701035644,2017/1/18,0
BAH2061701038259,2017/1/19,0
BAH2061701040499,2017/1/20,0
BAH2061701040910,2017/1/20,0
BAH2061701042841,2017/1/21,0
BAH2061701044433,2017/1/22,1
BAH2061701044869,2017/1/22,1
BAH2061701046119,2017/1/23,0
BAH2061701046668,2017/1/23,0
BAH2061701047947,2017/1/24,0
BAH2061702015626,2017/2/13,0
BAH2061702022700,2017/2/18,0
BAH2061702028399,2017/2/22,0
BAH2061702029052,2017/2/22,0
BAH2071701000130,2017/1/1,0
BAH2071701006326,2017/1/4,0
BAH2071701011485,2017/1/7,0
BAH2071701011583,2017/1/8,0
BAH2071701013652,2017/1/9,0
BAH2071701014846,2017/1/9,0
BAH2071701014996,2017/1/9,0
BAH2071701015435,2017/1/9,0
BAH2071701016588,2017/1/10,0
BAH2071701017132,2017/1/10,1
BAH2071701017633,2017/1/10,0
BAH2071701018266,2017/1/10,0
BAH2071701018279,2017/1/10,0
BAH2071701018720,2017/1/11,0
BAH2071701024923,2017/1/14,0
BAH2071701025544,2017/1/14,0
BAH2071701027594,2017/1/16,0
BAH2071701028809,2017/1/16,0
BAH2071701028938,2017/1/16,0
BAH2071701028984,2017/1/16,0
BAH2071701029071,2017/1/16,0
BAH2071701029130,2017/1/16,0
BAH2071701029214,2017/1/16,0
BAH2071701029711,2017/1/16,0
BAH2071701032447,2017/1/17,0
BAH2071701033582,2017/1/17,0
BAH2071701042882,2017/1/21,0
BAH2071701043439,2017/1/22,0
BAH2071701047720,2017/1/23,0
BAH2071702005667,2017/2/6,0
BAH2071702006731,2017/2/7,0
BAH2071702019398,2017/2/15,0
BAH2071702025018,2017/2/20,0
BAH2081701036621,2017/1/19,0
BAH2081701041608,2017/1/21,0
BAH2081701042117,2017/1/21,0
BAH2081701050422,2017/1/26,0
BAH2081702003286,2017/2/5,0
BAH2091701002283,2017/1/3,0
BAH2091701008616,2017/1/6,1
BAH2091701014115,2017/1/9,0
BAH2091702008220,2017/2/8,0
BAH2091702018431,2017/2/15,0
BAH2091702031994,2017/2/24,0
BAH2101612351979,2017/1/3,0
BAH2101701004907,2017/1/4,0
BAH2101702004529,2017/2/6,0
BAH2101702010403,2017/2/9,0
BAH3511701001974,2017/1/3,0
BAH3511701002160,2017/1/3,0
BAH3511701002382,2017/1/3,0
BAH3511701007049,2017/1/5,0
BAH3511701008062,2017/1/5,0
BAH3511701013635,2017/1/9,0
BAH3511701020104,2017/1/11,0
BAH3511701022654,2017/1/12,0
BAH3511701034277,2017/1/18,0
BAH3511701038873,2017/1/19,0
BAH3511702007612,2017/2/7,0
BAH3511702007896,2017/2/7,0
BAH3511702007902,2017/2/8,0
BAH3511702008550,2017/2/9,0
BAH3511702008553,2017/2/8,0
BAH3511702008681,2017/2/9,0
BAH3511702009547,2017/2/9,0
BAH3511702009902,2017/2/16,0
BAH3511702010396,2017/2/9,0
BAH3511702012586,2017/2/15,0
BAH3511702014667,2017/2/13,0
BAH3511702015015,2017/2/13,0
BAH3511702018608,2017/2/15,0
BAH3511702018698,2017/2/15,0
BAH3511702023963,2017/2/21,0
BAH3511702023982,2017/2/20,0
BAH3511702025146,2017/2/20,0
BAH5311701002488,2017/1/3,0
BAH5311701006470,2017/1/4,0
BAH5311701027022,2017/1/15,0
BAH5311701037555,2017/1/19,0
BAH5311701040636,2017/1/20,0
BAH5311701048785,2017/1/24,0
BAH5311702011262,2017/2/10,0
BAH5311702017217,2017/2/14,0
BAH5311702017788,2017/2/15,0
BAH5311702019240,2017/2/15,0
BAH5311702019625,2017/2/16,0
BJC0271612350967,2017/1/1,0
BJC0271612351220,2017/1/1,0
BJC0271612352102,2017/1/2,0
BJC0271701000055,2017/1/1,0
BJC0271701000062,2017/1/1,0
BJC0271701000068,2017/1/1,0
BJC0271701000072,2017/1/1,0
BJC0271701000146,2017/1/1,0
BJC0271701000182,2017/1/1,0
BJC0271701000237,2017/1/1,0
BJC0271701000289,2017/1/1,0
BJC0271701000334,2017/1/1,0
BJC0271701000363,2017/1/1,0
BJC0271701000439,2017/1/2,0
BJC0271701000503,2017/1/2,0
BJC0271701000639,2017/1/2,0
BJC0271701000643,2017/1/2,0
BJC0271701000703,2017/1/2,0
BJC0271701000760,2017/1/2,0
BJC0271701000795,2017/1/3,0
BJC0271701000866,2017/1/2,0
BJC0271701001302,2017/1/2,0
BJC0271701001363,2017/1/2,0
BJC0271701001378,2017/1/2,0
BJC0271701001388,2017/1/2,0
BJC0271701001402,2017/1/2,0
BJC0271701001467,2017/1/2,0
BJC0271701001504,2017/1/2,0
BJC0271701001593,2017/1/2,0
BJC0271701001653,2017/1/2,0
BJC0271701001726,2017/1/2,0
BJC0271701001741,2017/1/3,0
BJC0271701001840,2017/1/3,0
BJC0271701001856,2017/1/3,0
BJC0271701001863,2017/1/3,0
BJC0271701001896,2017/1/3,0
BJC0271701001921,2017/1/3,0
BJC0271701001952,2017/1/3,0
BJC0271701002001,2017/1/3,0
BJC0271701002079,2017/1/3,0
BJC0271701002100,2017/1/3,0
BJC0271701002148,2017/1/3,0
BJC0271701002244,2017/1/3,0
BJC0271701002265,2017/1/3,0
BJC0271701002331,2017/1/3,0
BJC0271701002426,2017/1/3,0
BJC0271701002506,2017/1/3,0
BJC0271701002589,2017/1/3,0
BJC0271701002591,2017/1/3,0
BJC0271701002597,2017/1/3,0
BJC0271701002605,2017/1/3,0
BJC0271701002659,2017/1/3,0
BJC0271701002682,2017/1/3,0
BJC0271701002700,2017/1/4,0
BJC0271701002709,2017/1/3,0
BJC0271701002742,2017/1/3,0
BJC0271701002749,2017/1/3,0
BJC0271701002785,2017/1/3,0
BJC0271701002865,2017/1/3,0
BJC0271701002878,2017/1/3,0
BJC0271701002892,2017/1/3,0
BJC0271701002936,2017/1/3,0
BJC0271701002987,2017/1/3,0
BJC0271701003093,2017/1/3,0
BJC0271701003110,2017/1/3,0
BJC0271701003215,2017/1/3,0
BJC0271701003252,2017/1/3,0
BJC0271701003311,2017/1/3,0
BJC0271701003370,2017/1/3,0
BJC0271701003402,2017/1/3,0
BJC0271701003452,2017/1/3,0
BJC0271701003658,2017/1/3,0
BJC0271701003747,2017/1/3,0
BJC0271701003803,2017/1/3,0
BJC0271701003823,2017/1/3,0
BJC0271701003829,2017/1/3,0
BJC0271701003877,2017/1/4,0
BJC0271701003908,2017/1/3,0
BJC0271701003917,2017/1/4,0
BJC0271701003989,2017/1/3,0
BJC0271701004029,2017/1/3,0
BJC0271701004089,2017/1/3,0
BJC0271701004490,2017/1/4,0
BJC0271701004541,2017/1/4,0
BJC0271701004614,2017/1/3,0
BJC0271701004662,2017/1/3,0
BJC0271701004690,2017/1/4,0
BJC0271701004795,2017/1/4,0
BJC0271701004831,2017/1/5,0
BJC0271701004946,2017/1/4,0
BJC0271701005334,2017/1/4,0
BJC0271701005344,2017/1/4,0
BJC0271701005393,2017/1/4,0
BJC0271701005523,2017/1/4,0
BJC0271701005552,2017/1/4,0
BJC0271701005662,2017/1/4,0
BJC0271701005904,2017/1/4,0
BJC0271701005972,2017/1/4,0
BJC0271701006063,2017/1/4,0
BJC0271701006071,2017/1/4,0
BJC0271701006146,2017/1/4,0
BJC0271701006163,2017/1/4,0
BJC0271701006248,2017/1/4,0
BJC0271701006333,2017/1/4,0
BJC0271701006466,2017/1/4,0
BJC0271701006875,2017/1/4,0
BJC0271701006952,2017/1/4,0
BJC0271701006960,2017/1/4,0
BJC0271701007029,2017/1/5,0
BJC0271701007033,2017/1/5,0
BJC0271701007178,2017/1/5,0
BJC0271701007237,2017/1/5,0
BJC0271701007309,2017/1/5,0
BJC0271701007529,2017/1/5,0
BJC0271701007552,2017/1/5,0
BJC0271701007642,2017/1/5,0
BJC0271701007665,2017/1/5,0
BJC0271701007674,2017/1/5,0
BJC0271701007697,2017/1/5,0
BJC0271701007720,2017/1/5,0
BJC0271701007875,2017/1/5,0
BJC0271701007876,2017/1/5,0
BJC0271701007951,2017/1/5,0
BJC0271701007959,2017/1/5,0
BJC0271701007966,2017/1/5,0
BJC0271701007974,2017/1/5,0
BJC0271701008043,2017/1/5,0
BJC0271701008056,2017/1/5,0
BJC0271701008122,2017/1/5,0
BJC0271701008166,2017/1/5,0
BJC0271701008169,2017/1/5,0
BJC0271701008255,2017/1/5,0
BJC0271701008401,2017/1/5,0
BJC0271701008451,2017/1/5,0
BJC0271701008467,2017/1/5,0
BJC0271701008491,2017/1/5,0
